source,target
She wanted to go out,Chhuah a duh a
"And he made a request to his disciples to have a little boat ready for him, so that he might not be crushed by the people;","Tin, mipui avang chuan a tan lawngleng lo ruatsak turin a zirtirte a hrilh a, Chutilochuan mi nek huai huai dah ang e, a ti a."
"I will put right their errors; freely will my love be given to them, for my wrath is turned away from him.","An hnungtawlhna hi ka tidam ang a, An lak ațanga ka thin rimna chu a kian tâk avângin, Anni chu ka hmangaih hrim hrim dawn a ni."
Now there was talk among the chief priests of putting Lazarus to death;,"Tin, puithiam lalte chu Lazara pawh tihlum turin an inrawn a;"
"Have you not seen this which is in the Writings: The stone which the builders put on one side, the same was made the chief stone of the building:","He Pathian Lehkha thu hi in chhiar lawm ni?‘In satute lung duh loh kha, ‘Chu ngei chu a kila lung tangkai ber a lo ni ta."
Don't look away from me,Min hawisan suh
And when the disciples came to the other side they had not taken thought to get bread.,"Tin, zirtirte chu ral leh lam an thlen chuan chhang an lo ken theihnghilh a."
"The end of a thing is better than its start, and a gentle spirit is better than pride.","Thil tawpna chu a tha zawk thin, a tanna aiin, Rilrua chhel hi a tha zawk, rilrua chapo aiin."
"How he was taken up into Paradise, and words came to his ears which may not be said, and which man is not able to say.","Paradis-a lak chhohva a awm leh thu sawi hleih theih loh, mihring sawi thian lohte chu a hria tih ka hria."
Why me?,Eng vangin kei kher?
"And from day to day more supporters came to David, till he had a great army like the army of God.","Ni tin, Davida lama tang tûrin an lo kal an lo kal a, Pathian sipaiho ang maia sipai pâwl ropui tak an lo ni ta a."
"And he put out Zedekiah's eyes; and the king of Babylon, chaining him in iron bands, took him to Babylon, and put him in prison till the day of his death.","Tin, Zedekia mit a kher chhuahsak a, Babulon lal chuan kawl a buntir a, Babulon-ah a kalpui ta a; athih ni thlengin tan inah a dah a."
"Adam had been living for a hundred and thirty years when he had a son like himself, after his image, and gave him the name of Seth:","Tin, Adama chuan kum 130 a nihin amah ang tak, ama anpui ngei fapa a nei a; a hmingah Setha a sa a:"
I love them,Anmahni ka hmangaih
The game started OK.,Inkhelh tan a OK.
She walks,A pen mêk
I smiled,Ka nuih tawh
It was competitive,Inelna a ni
"It is by your mouth, even yours, that you are judged to be in the wrong, and not by me; and your lips give witness against you.","Kei ni lovin, nangma tawngkam ngeiin a thiam lo che a, A ni, i hmui ngeiin a hek che a ni."
I'm tipsy.,Ka rui a.
He deserves punishment,Hremna a phu a ni
Don't touch anything,Engmah khawih suh
"And again he said with an oath, I have no knowledge of the man.","Tin, Chu mihring chu ka hre lo, tiin chhechhamin a pha leh a."
"And as a saviour he will come to Zion, turning away sin from Jacob, says the Lord.","Tin, Zion-ah chuan tlantu a lo kal ang a, Jakob-ho zinga bawhchhiatna hawisantute hnênah pawh a lo kal ang, LALPAN a ti:"
"In the past you were not a people, but now you are the people of God; then there was no mercy for you, but now mercy has been given to you.","hman lai khan mi reng in ni lo va, tunah erwh chuan Pathian mi in ni ta a; hman lai khan zahngaihna in hmu lo va,tunah erawh chuan zahngaihna in hmu ta a."
"See, I have made your face hard against their faces, and your brow hard against their brows.","Tûnah hian luhlul tak leh dehkhirh takin anmahni ang maiin ka siam ang che,"
"But after these things, I will let the fate of the children of Ammon be changed, says the Lord.","Chumi hnuah erawh chuan Amon fate awm dan ka lamlettir ang, tih hi LALPA thu chhuak a ni."
I do not see your son.,I fapa ka hmu lo.
"But Peter gave them an account of it all in order, saying to them,",Nimahsela Petera chuan a bul atangin indawt ziahin an hnenah a hrilhfiah a:
"Truly, God will not give up him who is without sin, and will not take evil-doers by the hand.","Ngai teh, pathianin mi tha apaih bo lo vang a, Thil sual titu a tungding hek lo vang."
I could be helpful,Ka tanpui thei a ni
"And Joseph gave orders to his servants who had the necessary knowledge, to make his father's body ready, folding it in linen with spices, and they did so.","Tin, Josefan a chhiahhlawh damdawi thiamhote chu a pa ruang tawih thei lova siam tûrin thu a pe a: tichuan damdawi thiamhote chuan Israela ruang chu tawih thei lovin an siam ta a."
And he made them all be seated in groups on the green grass.,"Tin, ani chuan an vaiin hlobet hring chungah chuan apawl zelin thuttir turin an hnenah thu a pe a."
"For it is a delight to keep them in your heart, to have them ready on your lips.","I thinlung chhûnga i vawn a, I kaa i tihngheh bawk chuan thil duhawm tak a ni."
Who appointed them,Tuin nge an ruat
"Go from here in the direction of the east, and keep yourself in a secret place by the stream Cherith, east of Jordan.","Heta ta hi chhuak la, khawchhak lam panin kal la, Jordan bula awm Kerith luiah han biru rawh"
"For God did not give us a spirit of fear, but of power and of love and of self-control.","Pathianin hlauhna thlarau min pe lo va, thiltihtheihna leh hmangaihna leh rilru fel tak neihna thlarau min pe zawk si a."
We'll starve to death!,Kan riltam ang!
We tried to defend ourselves.,Inven kan tum a.
"By your breath the waves were massed together, the flowing waters were lifted up like a pillar; the deep waters became solid in the heart of the sea.","I hnâra thawin tuite chu a lo in tiang a, Tuite chu ênglo dah khâwm thûr angin a ding luah a: Tuifinriat chhûng daiha tui thuk takte chu a lo khal zo ta a,"
Give me everything,Engkim min pe rawh
"But we give the good news of Christ on the cross, a hard thing to the Jews, and a foolish thing to the Gentiles;","keini erawh chuan Krista khenbeh thu kan hril thin a nih hi; chu chu Judate tan chuan tlukna, Jentailte tan thu atthlak a ni a;"
Hold on to me.,Ka hnênah awm rawh.
"Or your father's wife's daughter, the child of your father, for she is your sister.","I pa nupuia fanu, i pa hrin saruakna chu, i farnu a ni a, a saruakna i hlim tur a ni lo."
"Then the man will have to give the virgin's father fifty shekels of silver and make her his wife, because he has put shame on her; he may never put her away all his life.","a mutpuitu mipa chuan nula pa chu tangka sekel sawmnag a pe tur ani a, tin, ani chu a nupui a ni ang, a tihhminghliau tawh avangin; a dam chhûngin a then thei lovang."
"See, I come quickly. A blessing on him who keeps the words of this book of the prophet.","Tin, ngai teh, ka lo kal thuai dawn e. He lehkhabu hrilh lawkna thu pawm apiang an eng a thawl e, a ti a."
"And cedar-trees without number, for the Zidonians and the men of Tyre came with a great amount of cedar-trees for David.",sidar thin gchiar sen loh nen; Zidon mi leh tûra miten Davida hnênah chuan sidar thing tam tak an rawn la a ni.
Are not sparrows two a farthing? and not one of them comes to an end without your Father:,"Chawngzawng pahnih dar tangka pakhatah an hralh thin lo vem ni? Nimahsela, an zinga pakhat mah in Pa lovin leiah a tla lo vang."
Stop! Don't come in!,Tawp! Lo lut suh!
"But now I go to Jerusalem, taking help for the saints.",Tunah erawh chuan mi thianghlimho rawngbawl turin Jerusalem khuaah chuan ka kal rih dawn a ni.
"He has seen no evil in Jacob or wrongdoing in Israel: the Lord his God is with him, and the glad cry of a king is among them.","Jakoba-ho khawlohna reng a hmu lo va, Israel-hovah chhiatna reng ka hmu hek lo. LALPA an Pathian chuan a awmpui a, An lal aan an hmang a ni."
"Be full of desire for the true milk of the word, as babies at their mothers' breasts, so that you may go on to salvation;","nausen piang tharte angin thlarau lam hnute, engmah pawlh loh chu chak rawh u, chu miah chuan chhandamna tling khawpa in than len theih nan;"
I may win,Ka hlawhtling maithei
I won't negotiate,Ka inrem dâwn lo
We're done talking,Kan sawi zo tawh
They're not afraid of me.,Min hlau hauh lo.
"I have seen servants on horses, and rulers walking on the earth as servants.","Chhiahhlawh ka hmu, sakawr chungah, Hotu a kal kein, chhiahhlawh angin."
"The God of our fathers gave Jesus back to life, whom you had put to death, hanging him on a tree.","Nangnin Isua thingah khai kangin in tihhlum kha, min thlahtute Pathianin a kai tho leh ta a ni."
"And I will give grass in your fields for your cattle, so that you may have food in full measure.","In rante tan pawh in ramah hlobet te ka awmtir bawk ang a, nangni pawhin in ei ang a, in tlai ang."
"And all lands sent to Egypt, to Joseph, to get grain, for the need was great over all the earth.","Tin, lei chung zawng zawngah tâm chu a tlâk nasat avângin ram tina mite chu buh lei tûrin Aigupta ramah Josefa hnênah chuan an lo kal thîn a."
"And on the limit of Zebulun, from the east side to the west side: Gad one part.",Zebulunho chan nên a inriin chhak leh thlang zawngin chan khat Gadho chan a ni a.
Who made him angry when his voice came to them? was it not all those who came out of Egypt with Moses?,"A nih leh tute nge ni, hre reng sia tivui kha? Aigupta ram atanga Mosia hruaia chhuak zawng zawng kha an ni lo vem ni?"
They left together,An chhuak dun ta a
And at his words the spirit came into me and put me on my feet; and his voice came to my ears.,"Tin, ka hnêna a thusawi lai chuan thlarau chu keimahah a lo lut a, ka ke in mi dintîr a; tin, mi betu chu ka ngaithla ta a."
You need to be there.,I awm a ngai a ni.
And has taken us out of the hands of our haters: for his mercy is unchanging for ever.,Min dotute lakah min chhanhim a: A ngilneihna pawh kumkhuain a awm dawn si a.
I fooled Tom.,Toma ka bum.
They held each other tight,An in chelh tlat a
You never call me.,Min ko ngai lo.
"His strength is made feeble for need of food, and destruction is waiting for his falling footstep.","A chakna atamchhawl ang a, A kiangah chhiatna a inpeih reng."
"For where two or three are come together in my name, there am I among them.","Mi pahnih emaw pathum emaw ka hminga an inkhawmna apiangah chuan an zingah ka awm si thin a, a ti a."
"And he did the same sins which his father had done before him: his heart was not completely true to the Lord his God, like the heart of David his father.",A hmaa a pain thil sual a tih zawng zawngte kha a ti ve a: a pu Davida thinlung angin a thinlung chu LALPA a Pathian lamah a tha famkim ve lo va.
And he put the chief wine-servant back in his old place; and he gave the cup into Pharaoh's hand.,"Josefan anmahni a hrilhfiah ang takin, uain petuah a tantîr leh a; tichuan no chu Pharaoa kutah chuan a pe ta a:"
There were too many of them,An tam lutuk
"Then do not go after false gods, as some of them did; as it is said in the holy Writings, After resting and feasting, the people got up to take their pleasure.","An zinga thenkhat milem betu an ni ang khan milem betu ni suh u, Mipui chu ei leh in turin an thu hlawm a, infiam turin an tho leh a, tih ziak ang kha."
You're hard-headed,Lu khauh tak i ni
I belong here,Hetah ka cheng
I don't lie,Ka daw lo
Are you sure you saw it?,I hmu chiang em?
"Then they sent up their cry to the Lord in their sorrow, and he gave them salvation out of all their troubles;","Chu veleh an buainaah chuan LALPA chu an au va, Ani chuan an manganna atate chu a chhanhim a."
"The sons of Benjamin: Bela and Becher and Jediael, three.","Benjamina fapate chu Bela te, Bekera te, Jediaela te an ni a, pathum an ni."
"A wise man goes up into the town of the strong ones, and overcomes its strength in which they put their faith.","Mi fing chu mi chak khawpuiah a lo awm a, Chu mia na rinpui ber chakna chu a lak thlâksak thin."
It's a pretty house.,In mawi tak a ni.
"There go the ships; there is that great beast, which you have made as a plaything.","Sawta saw lawngpuite a kal saw; Sawtah sawn Liviathan a awm, a chhûnga inkhel tûra i siamna chu."
"And they made designs together to take Jesus by some trick, and put him to death.","Isua chu ngamthlema man a, an tihhlum theihna turin an inrawn a."
"And he sent for lights and came rushing in and, shaking with fear, went down on his face before Paul and Silas,","Tin, a vengtu chuan khawnvarte a lam a, a zuang lut a, hlauva khur chungin Paula leh Sila hmaah a bawkkhup a;"
Weren't you crying,I tap lo em ni
So six hundred men of the Danites from Zorah and Eshtaol went out armed with instruments of war.,Tichuan Zora leh Estaola khua tang chuan Dan hnamte chu indona thuam inbelin mi zaruk an chhuak ta a.
Is it new?,A thar em?
"The king's request is a very hard one, and there is no other who is able to make it clear to the king, but the gods, whose living-place is not with flesh.","Tin, lal thil phût hi thil khirh tak a ni a, tîsaa khawsa lo pathiante tih chauh lo chu entîr thei tûr tumah an awm lo ve,’’ an ti a."
"Who have said, Let us take for our heritage the resting-place of God.","Chu mite chuan, Pathian awmnate chu luahsak ang u, an tih kha."
"If any man's work comes through the test, he will have a reward.",Tu hnathawh pawh a chunga a sak chu a awm reng chuan chu mi chuan lawmman a hmu ang.
"To give his chiefs teaching at his pleasure, and so that his law-givers might get wisdom from him.","A mi liante chu a duh duha phur tûr leh, A upaho tifing tûrin."
Then again lifting up my eyes I saw a roll in flight through the air.,"Tah chuan ka mit ka han len chho leh a, ka han en a, lehkhabu zial thlâwk duai duai hi ka hmu a."
"And David took the strong tower for his living-place, so it was named the town of David.","Tin, Davida chu kulhah a awm ta a; chuvangin Davida khawpui an ti a ni."
"As for their beautiful ornament, they had put it on high, and had made the images of their disgusting and hated things in it: for this cause I have made it an unclean thing to them.","An cheina mawina chuh an chapopui a, an tenawmna milemah leh an bawlhhlawhna thilah an chantîr chauh zawk a ni; chumi avâng chuan an tan thil tenawmah ka lo siam ta a ni."
"But in all your towns I have kept food from your teeth, and in all your places there has been need of bread: and still you have not come back to me, says the Lord.","Tin, kei pawhin in khawpui zawng zawngahte țamna leh in hmun zawng zawngahte tlâkchhamna ka pe che u a: chuti pawhin ka hnênah in lo kîr lo va, LALPA thu chhuak chuan a ti."
I am off now.,Ka kal mai e aw.
I'm hiding,Ka biru mêk
Do you plan on going again?,Kal leh i tum em?
Keep looking,En zel rawh
They will give fruit even when they are old; they will be fertile and full of growth;,Tar hnuah pawh an la rah fo vang a; Tui pai teuhvin an hring hluah hluah ang:
Would you give up?,I beidawng ang em?
I will have your Asherahs pulled up from among you: and I will send destruction on your images.,"Tin, thu ngaithla lo hnamte chungah chuan thinurna leh thinrimnain phuba lakna ka ti puitling ang."
Then the king sent and got together all the responsible men of Judah and of Jerusalem.,"Tin, lal chuan mite a tir a, Judai ram leh Jerusalem khawpuia upa zawng zawng a hnênah an ko khâwm chiam a."
You aren't bruised,I hliam lo
"He whose eyes are shut is a man of twisted purposes, and he who keeps his lips shut tight makes evil come about.","A mit maimitchhing chuan thil tha lo suangtuah nân a ti a ni a, A heh pettu chuan thil tha lo a thlen thin."
"And when they had done this, they got such a great number of fish that it seemed as if their nets would be broken;","Tin, an han den chuan sangha tam tak an khuh a, an lente chu a chat pheuh pheuh va."
I'll do this.,Hei hi ka ti ang.
"And the disciples, everyone as he was able, made a decision to send help to the brothers living in Judaea:","Tichuan zirtirteho chuan an theih tawk theuhvin, Judai rama unau awmte hnenah chuan chhawmdawlna tur thawn a tum a;"
We don't like you.,Kan duh lo che.
"Then Jesus said to Peter, Put back your sword: am I not to take the cup which my Father has given to me?","Tichuan Isuan Petera hnenah, Khandaih kha a paiah khung rawh; Pain no kei mi pek hi ka in lo vang em ni? a ti a."
I gave up on them,Anmahni chu ka bânsan ta a
Sami is not moving,Sami a che lo
That's wet,A huh
"If anyone puts a curse on his father or his mother, his light will be put out in the blackest night.","A nu emaw, a pa emaw ânchhe lawhtu chu, Thimtham lai berah a khawnvar tihmihsak a ni ang."
Christmas with you.,Krismas nang nen.
"But as for such as are turned out of the straight way, the Lord will take them away with the workers of evil. Let peace be on Israel.",An kawng kawitea pengho erawh hi zawng LALPA chuan thil tisualtute nên a hruai chhuak ang. Israel-ho chungah chuan thlamuanna awm rawh se.
"By that pleasure we have been made holy, by the offering of the body of Jesus Christ once and for ever.",Chu mi duhzawng chuan Isua Krista taksa vawi khata hlan nghal vang khan tihthianghlimin kan awm ta.
It's extremely rare.,A rare hle mai.
I'm not accusing anyone.,Tumah ka puh lo.
Be still,Che suh
But there is no need for me to say anything in my letter about the giving to the saints:,Mi thianghlimte rawngbawl thu zawng in hnena ka ziak a ngai lo ve;
They moved in together,An insawn dun em
"For Jesus had said to him, Come out of the man, you unclean spirit.","Isua chuan a hnenah Nang, ramhuai bawlhhlawhpa, mihring chhung ata hi chhuak rawh, a lo ti tawh si a."
I did nothing,Engmah ka tilo
Because he is a servant he has no interest in the sheep.,"inhlawhfa a ni a, beramte a ngaihsak loh avangin a tlan bo thin a ni."
Then certain of the responsible men of Israel came to me and took their seats before me.,"Tichuan Israel upa țhenkhatte chu ka hnênah an lo kal a, ka hmaah an țhu a."
"Hey, it's me","Hei, keimah ka nia"
"Without a thought that they may be crushed by the foot, and broken by the beasts of the field?","Miin a rap keh thei a, Ramsaten an chil keh thei tih a hre leh tawh lo."
"And he went up into the mountain, and sent for those whom it was his pleasure to have with him: and they went to him.","Tin, tlangah chuan a han kal a, amahin a duhzawng apiangte chu a ko va; tin, anni chu a hnenah an han kal a."
I was strong,Ka chak lutuk
For this cause it was necessary to make the copies of the things in heaven clean with these offerings; but the things themselves are made clean with better offerings than these.,"Chutichuan, vana thil awm angte chu chung chuan tihthianghlimin a awm tur reng a ni, van thil taktakte erawh chu chung aia inthawina tha zawktein tihthianghlimin a awm tur a ni."
"Let all the nations whom you have made come and give worship to you, O Lord, giving glory to your name.","Aw Lalpa, i siam hnam tinrengte chu an lo kal ang a, i hmaah an lo kun ang a; I hming chu an rawn chawimawi ang."
It's a trick,Inbumna a ni
"If he has a son who is a thief, a taker of life, who does any of these things,","Mahse fapa rukhmang a hrina, thisen chhuahtu a niha, hetiang rêng rêng hi a tiha,"
Didn't you feel like going?,Kal duh lo em ni?
"So the armed men, as they were ordered, took Paul and came by night to Antipatris.","Chutichuan sipaite chuan a thupek ang chuan Paula chu azan azanin an hruai a, Antipatri khua an thlenpui a."
He is afraid of dogs,Ui a hlau a ni
"How he had done his signs in Egypt, and his wonders in the field of Zoan;","Khatia Aigupta rama a chinchhiahnate a dah a, Zoan phulah a thilmakte a dah bawk a;"
I'm going running,Ka tlan ta a
"And how I kept back nothing which might be of profit to you, teaching you publicly and privately,","khati khan a sawt tur thu in hnenah engmah hrilh ka tim lo va, vantlang zingah te, in tinah te ka zirtir thin che u a,"
We're back,Kan lo let ta e
Sami called them,Sami chuan a ko a
I wasn't talking,Ka sawi lo a ni
I've already chosen,Ka thlang tawh
"It will be hard for women who are with child, and for her with a baby at the breast, in those days. For great trouble will come on the land, and wrath on this people.","Chung ni chuan raite leh nauno pawmte chung a pik ang, khawvelah hian hrehawm nasa tak a thlen dawn avang leh he chite chungah hian thinurna a thlen dawn avangin."
Say aah,Aah tirawh
I dream in French.,French tawngin ka mumang a ni.
"Oh, I got it.","Oh, ka hria e."
I ran away,Ka tlanbo
"And thirty-two thousand persons, that is, women who had never had sex relations with a man.","mihring chu hmeichhia, mipa la pâwl ngai loh 32,000 an ni a."
"And Pilate again said in answer to them, What then am I to do to him to whom you give the name of the King of the Jews?","Pilata chuan an hnenah, Judate lal in tiha hi engtin nge ka tih tak ang le? tiin a chhang leh a."
I like eggs,Artui ka duh
Do we have the money,Pawisa kan nei em
They smiled at each other,An nui dun a
And the four kings took all the goods and food from Sodom and Gomorrah and went on their way.,"Tichuan Sodom leh Gomorra mite sum zawng zawng leh an ei tûr zawng zawng an la a, an haw ta a."
"And now, see, the Lord has put a spirit of deceit in the mouth of these prophets of yours; and the Lord has said evil against you.","Chutichuan ngai teh, LALPA chuan heng i zâwlneite kaah hian thlarau dawthei a dah a; i chungchâng thu LALPAN a tha lo lamin a sawi ta a ni, a ti a."
"But Paul and Barnabas kept on in Antioch, teaching and preaching the word of God, with a number of others.","Paula leh Barnaba erawh chu Antiokei khuaah chuan Lalpa thu zirtir leh hrilin an awm reng a, mi dang tam takte nen."
You don't drink enough water.,Tui i in tawk lo.
"So faith comes by hearing, and hearing by the word of Christ.","Chutichuan rinna chu hriatna avangin a lo awm thin a, tin, hriatna chu Krista thu avangin a lo awm."
"That which has birth from the flesh is flesh, and that which has birth from the Spirit is spirit.",Tisaa piang apiang tisa a ni; Thlarauva piang apiang thlarau a ni.
"So the Jews said among themselves, To what place is he going where we will not see him? will he go to the Jews living among the Greeks and become the teacher of the Greeks?","Tin, Judate an inbia a, Kan hmuh loh turin he mi hi khawiah nge a kal dawn? Grikte zinga Pem darhho hnena kalin Grikte chu a zirtir dawn em ni ang?"
We're not surprised,Mak kan ti lo
"I keep company with all your worshippers, and those who have your orders in their memory.","Nangmah tihtu zawng zawng leh, I thununna thute zawmtute thian ka ni."
I slept a lot.,Ka mu nasa ṭhin.
"For this cause nets are round your feet, and you are overcome with sudden fear.","Chuvang chuan i velin thang a awm a, Hlauhna chuan a tibuai ta thut che a ni."
And put to death the Lord of life; whom God gave back from the dead; of which fact we are witnesses.,Nunna Siamtu chu in that a; nimahsela Pathianin ani chu mitthi zing ata a kai tho leh a; chu chu a hretute kan ni e.
"Make clear the wonder of your mercy, O saviour of those who put their faith in your right hand, from those who come out against them.","Aw, nangmaha rina nghat apiang anmahni beitute laka i kut ding lama chhandam thintu, I ngilneihzia mak tak chu lantir ang che."
It's his.,Ama ta a nia.
"And Jesus was increasing in wisdom and in years, and in grace before God and men.","Tin, Isua chu a fing deuh deuh va, a lo lian telh telh a, Pathian leh mihring duhsakin a awm deuh deuh va."
Let's go and sit down.,Kan va ṭhu ang u.
Tom doesn't speak,Tom a tawng lo
"It has come up as a witness against me, and the wasting of my flesh makes answer to my face.","Nangin mi chelh bet a, chu chu ka chunga hretu a ni a, Ka cherna hian mi hek a. Chu chu ka hmai chhana hriattirtu a ni."
Surgical glove,Inzaina kutkawr
Bear with me,Min hrethiam rawh
"That man, among the sons of Aaron, by whom the blood of the peace-offering and the fat are offered, is to have the right leg for his part.",Arona fapate zinga remna thilhlan thisen leh thau hlantu apiang chuan a chanvo atan a bawp ding lam a nei tur a ni.
"So he went in, and shutting the door on the two of them, made prayer to the Lord.","chutichuan a va lût a, an pahnih chuan kawng a khar hnan a, LALPA hnênah a tawngtai a."
Replace it,Thlakthleng rawh
"And from all over the earth they came to see Solomon and to give ear to his wisdom, which God had put in his heart.",Pathianin a thinlunga finna thu a dahsak chu ngaithla tûrin khawvela mi zawng zawngte chuan Solomona chu an rawn pan huai huai thin a.
"Benjamin is a wolf, searching for meat: in the morning he takes his food, and in the evening he makes division of what he has taken.","Benjamina hi chinghne koham a ni: zîngah chuan a sa she chu a ei a ng a, Tlai lamah chuan a râllâk chu a sem ang, a ti a."
"Now the scribes and Pharisees came, with a woman who had been taken in the act of sinning against the married relation;","Tin, lehkhaziaktute leh Pharisaiten hmeichhe pakhat a uire lai an man an rawn hruai a; tin, a laiah an dintir a,"
He's tall.,A sang.
I didn't say I was scared.,Ka hlau ka ti lo.
I'm here now,Hetah ka awm tawh
"Your haters will be clothed with shame, and the tent of the sinner will not be seen again.","A hawtu che chu zahnaa tuam an ni ang a, Mi suaksual puan in pawh a awm tawh lawng."
I have a cold,Khuh ka nei
And make a room ready for me; for I am hoping that through your prayers I will be given to you.,"Engpawh ni sela, chu chang ti lovin, thlenna tur mi lo buatsaihsak bawk ang che; in tawngtainate avangin in hnenah pek ka ni dawn tih ka inring si a."
And about this thing I made request to the Lord three times that it might be taken away from me.,Chu mi chungchang thu-ah chuan mi kiansan theih nan Lalpa chu vawi thum ka dil a.
She gave me something.,Thil min pe a.
I left early,Ka chhuahsan hma
We were prisoners,Tâng kan ni a
"Others go about without clothing, and though they have no food, they get in the grain from the fields.","Silhfen lovin saruakin an vakvai a, Rilram chungin buhphalte an pu a;"
"And they came near the town to which they were going, and he seemed as if he was going on;","Tin, an kalna tur khua chu an thleng dawn ta a; tin, ani chu hla deuhva kal tum angin a awm a."
Did you give the order?,Order i pe em?
Are you making a scene?,Scene i siam em?
They're not going to stop,An tawp dawn lo
Then they readily took him into the boat: and straight away the boat was at the land to which they were going.,"Chutichuan lawngah chuan chuantir an duh ta a; tin, chawplehchilhin lawng chuan an pan khawmual chu an thleng ta nghal a."
